Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"The runtime for the following code fragment is ?(f(n)). What is f(n)?for (int i=0; i<n; i++) for (int j=0; j<i/10; j++) for (int k=1; k<n; k=2*k) System.out.println(i);
", , ,"n^2(logn)
", , ,,"wd371 (wd371)
"
"An algorithm has time complexity . Using the Definition of Big-Oh as given in the 2019 Week 1a Lecture (slide 14), fix B = 4.Assuming, what is the lowest possible value of b for which the definition holds?
", , , ,"b = 9
", ,"Solve for the roots of |T(N)|=4N^2. The roots are, N=6, N=9 for the equation T(N)=4N^2. Roots to -T(N)=4N^2 can be safely ignored.So the choice is b=9. You can quickly verify by substituting N=8 that b=6 does not satisfy the definition. b=12 satisfies the definition but is not the lowest possible value of b satisfying the definitionThe slightly harder version of this question can be found here:https://peerwise.cs.auckland.ac.nz/course/main.php?cmd=answerQuestion&id=4248139
",
"Which one of the following sorting algorithms is the quickest for an almost sorted array?
", ,"Insertion sort
", , , ,,"aa2955 (aa2955)
"
"What is the Big oh complexity of heap sort?
", ,"O(n log n)
", , , ,,"aa2955 (aa2955)
"
"What is the time complexity of Dijkstra's Algorithm without a min-priority queue?
","O(V2)
", , , , ,"shortest_path -> slide 21
",
"Santa has had one too many beers while flying the sleigh back to the North Pole when the police pull him over. The police ask for hisEASA Part-FCL commercial pilot license (CPL) and he realises that he left it in one of 60 remaining gift boxes. The gift box he needs to find is labelled ""Santa Claus"" with ""North Pole"" on. Each location ""e.g Africa"" is put into its own pile, there are 12 remaining piles in total. Each pile is ordered by name ""e.g Mrs Claus"", there are 5 gift boxes in each pile. Using a binary search, what is the worst-case complexity?
", , , ,"log2(12) + log2(5)
", ,"Binary search is log2(n) complexity, log(12) + log(5) for final.
",
"What is the time complexity for completing 'n' searches in a balanced binary search tree?
","nlogn
", , , , ,,"aar73 (aar73)
"
"What is the worst case time complexity of the merge sort
", ,"?(nlogn)
", , , ,,"mdsb20 (mdsb20)
"
"Which data structure is described by:the value at each node is = the values at its two children.
", , ,"Min heap
", , ,"Definition given in Week 5b Slide 4.
",
"An algorithm has a time complexity of?(n^3), when n = 2 it takes 2 seconds to complete how long does it take to complete when n = 4
", , ,"16
", , ,"2^3 = 8, 8/4 = 24^3 = 64, 64/4 = 16
",
"I am using the hash function H(x) = x % 7 to add functions to an open hash table. This hash table is indexed 0 to 6, with each bucket having a max length of 3.If a bucket ""overflows"", ie it is full and another element is added, this element is added to an overflow bucket.How many elements are inserted into the overflow bucket after the following elements are inserted?Elements inserted left to right (ie 29 is first insert 69 is last insert) : 29, 64, 63, 16, 48, 74, 143, 39, 80, 281, 4, 69.
", , ,"2
", , ,"29 % 7 = 125 % 7 = 464 % 7 = 163 % 7 = 016 % 7 = 248 % 7 = 674 % 7 = 4143 % 7 = 339 % 7 = 4 ---- ""4 bucket full""80 % 7 = 3281 % 7 = 1 ---- ""1"" bucket full4 % 7 = 4 ---- put into overflow7071 % 7 = 1 ---- put into overflow69 % 7 = 62 elements were added to the overflow
",
"Given a load factor of 0.3 what is the average number of steps for a Closed Hash table with linear probing to find an item.
", , ,"1.21 steps
", , ,"Answer is 1.21 steps, see slide 31 of week10b-hashtablesall.pptx
",
"You have been approached by a company to recommend a fast and efficient sorting algorithm to use in Java. They often deal with large inputs of numerical data, and have limited storage. Which sorting algorithm is most suitable?
", ,"Quick Sort
", , , ,"Bubble Sort, Selection Sort and Insertion Sort are bounded by O(n^2), which is unacceptable for this situation. Both Quick Sort and Merge Sort have good runtimes (nlog(n)). However, the main reason why Quick Sort is preferred is that no extra space is used (sorting is done in place), compared to Merge Sort which can be memory consuming.
",
"What is the time complexity of the following algorithm : 0.00001n4 + 100n2 + 19nlogn + (10n2* 5n3 ) ?
", ,"O(n5)
", , , ,"The biggest function will dominate since we have(10n2 * 5n3 ) this equates to 50n5 which dominates the others.
","hacker_man (jm2787)
"
"What is the time complexity of the following algorithm : 0.00001n4 + 100n2 + 19nlogn + (10n2* 5n3 ) ?
", ,"O(n5)
", , , ,"The biggest function will dominate since we have(10n2 * 5n3 ) this equates to 50n5 which dominates the others.
","hacker_man (jm2787)
"
"Which formal definition represents an algorithm operating asymptotically equal as f(x)?
","
", , , , ,,"mma82 (mma82)
"
"It's another Monday morning and you've just rolled up to your workstation at an unnamed car manufacturing company. But, egads! You find that all of the computers have been struck with ransomware!The ransomware states that all of your important, company related files have been encrypted. In order to decrypt them, you can either send 5 BTC to a shady BTC wallet address OR you can solve the following AVL-Tree question.Given the following AVL Tree:what will the tree look like after the number7 has been inserted?
", ,"
", , , ,,"ajm266 (ajm266)
"
"Which one of the following statements regarding sorting is incorrect?
", , ,"A heap sort is stable.
", , ,"a) is correct, as an insertion sort is indeed stable.b) is correct, as the best, average and worst time complexity for a selection sort are all .c) is incorrect, asa heap sort is not stable.d) is correct, as the best, average and worst time complexity for Shell's sort are all .e) is correct, as the worst case time complexity of a bubble sort is indeed .
",
"How does a Dijkstra's Algorithm behave when all of the edges are weighted equally?
","Breadth-first search
", , , , ,,"eb2006 (eb2006)
"
"Given the functionsf(x) = 0.1 n5g(x) = 50 nlognh(x) = 0.5 2nhint ( O = at least , ? = at most, O = exactly (both O and? apply))Which of the following is true ?
", ,"f is O(g), g is ?(h), and h is O(g)
", , , ,"A - Wrong as f is much larger than g inf is ?(g), the larger function dominates n5dominates nlogn, for the same reason g is O(f) is wrongB - f is atleast g, because f dominates g we can say that f will be atleast g, g is at most h as h dominates g , and h is atleast g for the same reason making this correctC - f is exactly g is wrong since f dominates g, g is atmost h and h is atleast g however are correct
",
"Build an AVL Tree with the following values:15, 20, 24, 10, 13, 7, 30, 36, 25Which value does the root node point to?
", , ,"13
", , ,"See Week 8b-Trees3, slide 38 for implementation
",
"What is the best and worst case for Merge Sort?
", ,"Best Case: nlog(n)Worst Case: nlog(n)
", , , ,,"eotb20 (eotb20)
"
