,Document_No,Dominant_Topic_1,Perc_Contribution_1,Topic_Keywords_1,Dominant_Topic_2,Perc_Contribution_2,Topic_Keywords_2,Dominant_Topic_3,Perc_Contribution_3,Topic_Keywords_3,Text,Question
0,0,58,0.3109000027179718,"for, int, follow, time, complexity, run, if, give, code, return",5,0.012199999764561653,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",43,0.012000000104308128,"follow, function, true, correct, give, constant, nlog, refer, awhich, definitely","['runtime', 'for', 'follow', 'code', 'fragment', 'for', 'for', 'for']","The runtime for the following code fragment is ?(f(n)). What is f(n)?for (int i=0; i<n; i++) for (int j=0; j<i/10; j++) for (int k=1; k<n; k=2*k) System.out.println(i);
"
1,1,14,0.2685999870300293,"value, lecture, low, deletion, possible, slide, bind, lower, state, week",58,0.09049999713897705,"for, int, follow, time, complexity, run, if, give, code, return",38,0.06949999928474426,"definition, precision, factor, incorrect, accuracy, difference, theload, full, important, treebinary","['complexity', 'use', 'definition', 'give', 'week', 'lecture', 'slide', 'fix', 'assume', 'low', 'possible', 'value', 'for', 'definition', 'hold']","An algorithm has time complexity . Using the Definition of Big-Oh as given in the 2019 Week 1a Lecture (slide 14), fix B = 4.Assuming, what is the lowest possible value of b for which the definition holds?
"
2,2,5,0.19349999725818634,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",55,0.08250000327825546,"array, slow, problem, random, may, integer, access, limit, endb, face",58,0.05590000003576279,"for, int, follow, time, complexity, run, if, give, code, return","['follow', 'sort', 'algorithm', 'quick', 'for', 'almost', 'sorted', 'array']","Which one of the following sorting algorithms is the quickest for an almost sorted array?
"
3,3,52,0.0625,"term, advantage, swap, let, heap, amortise, measure, singly_linked, transitivity, permutation",4,0.060100000351667404,"complexity, time, large, case, slowest, log, na, number, arrange, average",58,0.017100000753998756,"for, int, follow, time, complexity, run, if, give, code, return","['complexity', 'heap']","What is the Big oh complexity of heap sort?
"
4,4,5,0.09860000014305115,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",4,0.05730000138282776,"complexity, time, large, case, slowest, log, na, number, arrange, average",59,0.01720000058412552,"chicken, start, plump, like, want, weight, could, book, update, tell","['algorithm', 'without', 'priority']","What is the time complexity of Dijkstra's Algorithm without a min-priority queue?
"
5,5,8,0.4343000054359436,"list, link, array, item, would, remove, front, faster, middle, new",34,0.0786999985575676,"tree, order, binary, node, search, follow, avl, traversal, type, number",58,0.05420000106096268,"for, int, follow, time, complexity, run, if, give, code, return","['many', 'beer', 'while', 'fly', 'sleigh', 'back', 'pole', 'police', 'pull', 'police', 'ask', 'for', 'commercial', 'pilot', 'license', 'cpl', 'realise', 'leave', 'remain', 'gift', 'box', 'gift', 'box', 'need', 'find', 'label', 'location', 'put', 'pile', 'remain', 'total', 'pile', 'order', 'name', 'gift', 'box', 'pile', 'use', 'binary', 'search', 'complexity']","Santa has had one too many beers while flying the sleigh back to the North Pole when the police pull him over. The police ask for hisEASA Part-FCL commercial pilot license (CPL) and he realises that he left it in one of 60 remaining gift boxes. The gift box he needs to find is labelled ""Santa Claus"" with ""North Pole"" on. Each location ""e.g Africa"" is put into its own pile, there are 12 remaining piles in total. Each pile is ordered by name ""e.g Mrs Claus"", there are 5 gift boxes in each pile. Using a binary search, what is the worst-case complexity?
"
6,6,34,0.22769999504089355,"tree, order, binary, node, search, follow, avl, traversal, type, number",58,0.1160999983549118,"for, int, follow, time, complexity, run, if, give, code, return",4,0.014600000344216824,"complexity, time, large, case, slowest, log, na, number, arrange, average","['time', 'complexity', 'for', 'complete', 'search', 'balance', 'binary', 'search', 'tree']","What is the time complexity for completing 'n' searches in a balanced binary search tree?
"
7,7,5,0.1371999979019165,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",17,0.05700000002980232,"big, notation, assume, comparison, merge, omega, theta, off, transitivity, convert",4,0.0203000009059906,"complexity, time, large, case, slowest, log, na, number, arrange, average","['time', 'complexity', 'merge', 'sort']","What is the worst case time complexity of the merge sort
"
8,8,1,0.09009999781847,"datum, store, structure, add, right, remove, data, leave, use, follow",14,0.08399999886751175,"value, lecture, low, deletion, possible, slide, bind, lower, state, week",34,0.057100001722574234,"tree, order, binary, node, search, follow, avl, traversal, type, number","['datum', 'structure', 'describe', 'value', 'node', 'value', 'child']","Which data structure is described by:the value at each node is = the values at its two children.
"
9,9,4,0.14319999516010284,"complexity, time, large, case, slowest, log, na, number, arrange, average",5,0.1193000003695488,"sort, algorithm, follow, list, complexity, time, take, size, runtime, stable",34,0.015699999406933784,"tree, order, binary, node, search, follow, avl, traversal, type, number","['time', 'complexity', 'complete', 'long', 'take', 'complete']","An algorithm has a time complexity of?(n^3), when n = 2 it takes 2 seconds to complete how long does it take to complete when n = 4
"
