,Document_No,Dominant_Topic_1,Perc_Contribution_1,Topic_Keywords_1,Dominant_Topic_2,Perc_Contribution_2,Topic_Keywords_2,Dominant_Topic_3,Perc_Contribution_3,Topic_Keywords_3,Text,Question
0,0,16,0.1995999962091446,"for, follow, time, complexity, true, give, statement, function, correct, run",6,0.10209999978542328,"code, fragment, runtime, get, void, position, if, nodenext, method, correctly",41,0.033399999141693115,"runtime, part, course, http, answerquestion, mainphpcmd, answer, conference, target, must","['runtime', 'for', 'follow', 'code', 'fragment', 'for', 'for', 'for']","The runtime for the following code fragment is ?(f(n)). What is f(n)?for (int i=0; i<n; i++) for (int j=0; j<i/10; j++) for (int k=1; k<n; k=2*k) System.out.println(i);
  n^2(logn)
  "
1,1,42,0.3075000047683716,"big, definition, bind, set, notation, omega, final, lecture, theta, exact",16,0.1420000046491623,"for, follow, time, complexity, true, give, statement, function, correct, run",24,0.018200000748038292,"hash, element, table, bucket, use, function, close, key, store, insert","['complexity', 'use', 'definition', 'give', 'week', 'lecture', 'slide', 'fix', 'assume', 'low', 'possible', 'value', 'for', 'definition', 'hold']","An algorithm has time complexity . Using the Definition of Big-Oh as given in the 2019 Week 1a Lecture (slide 14), fix B = 4.Assuming, what is the lowest possible value of b for which the definition holds?
   b = 9
 "
2,2,56,0.27970001101493835,"sort, list, follow, algorithm, complexity, insertion, time, order, stable, would",16,0.053300000727176666,"for, follow, time, complexity, true, give, statement, function, correct, run",40,0.045899998396635056,"array, slow, problem, may, random, element, access, integer, anywhere, face","['follow', 'sort', 'algorithm', 'quick', 'for', 'almost', 'sorted', 'array', 'insertion', 'sort']","Which one of the following sorting algorithms is the quickest for an almost sorted array?
 Insertion sort
   "
3,3,56,0.10419999808073044,"sort, list, follow, algorithm, complexity, insertion, time, order, stable, would",49,0.05990000069141388,"int, result, return, term, many, num, body, function, heap, count",16,0.017000000923871994,"for, follow, time, complexity, true, give, statement, function, correct, run","['complexity', 'heap', 'sort']","What is the Big oh complexity of heap sort?
 O(n log n)
   "
4,4,56,0.14740000665187836,"sort, list, follow, algorithm, complexity, insertion, time, order, stable, would",55,0.01510000042617321,"datum, search, structure, remove, data, list, store, want, add, use",44,0.014600000344216824,"input, size, large, number, use, slowest, algorithm, instruction, arrange, na","['algorithm', 'without', 'priority']","What is the time complexity of Dijkstra's Algorithm without a min-priority queue?
O(V2)
    "
5,5,19,0.448199987411499,"pile, box, gift, remain, police, back, realise, pole, ask, commercial",14,0.09160000085830688,"tree, binary, order, node, leave, right, follow, avl, search, traversal",29,0.08269999921321869,"find, number, step, item, average, many, index, table, insert, hash","['many', 'beer', 'while', 'fly', 'sleigh', 'back', 'pole', 'police', 'pull', 'police', 'ask', 'for', 'commercial', 'pilot', 'license', 'cpl', 'realise', 'leave', 'remain', 'gift', 'box', 'gift', 'box', 'need', 'find', 'label', 'location', 'put', 'pile', 'remain', 'total', 'pile', 'order', 'name', 'gift', 'box', 'pile', 'use', 'binary', 'search', 'complexity']","Santa has had one too many beers while flying the sleigh back to the North Pole when the police pull him over. The police ask for hisEASA Part-FCL commercial pilot license (CPL) and he realises that he left it in one of 60 remaining gift boxes. The gift box he needs to find is labelled ""Santa Claus"" with ""North Pole"" on. Each location ""e.g Africa"" is put into its own pile, there are 12 remaining piles in total. Each pile is ordered by name ""e.g Mrs Claus"", there are 5 gift boxes in each pile. Using a binary search, what is the worst-case complexity?
   log2(12) + log2(5)
 "
6,6,14,0.21729999780654907,"tree, binary, order, node, leave, right, follow, avl, search, traversal",16,0.11550000309944153,"for, follow, time, complexity, true, give, statement, function, correct, run",43,0.04450000077486038,"space, nlogn, worst, double, do, enough, arraylist, namortise, collection, efficiency","['time', 'complexity', 'for', 'complete', 'search', 'balance', 'binary', 'search', 'tree', 'nlogn']","What is the time complexity for completing 'n' searches in a balanced binary search tree?
nlogn
    "
7,7,16,0.1054999977350235,"for, follow, time, complexity, true, give, statement, function, correct, run",43,0.05959999933838844,"space, nlogn, worst, double, do, enough, arraylist, namortise, collection, efficiency",56,0.015799999237060547,"sort, list, follow, algorithm, complexity, insertion, time, order, stable, would","['time', 'complexity', 'nlogn']","What is the worst case time complexity of the merge sort
 ?(nlogn)
   "
8,8,14,0.16930000483989716,"tree, binary, order, node, leave, right, follow, avl, search, traversal",55,0.09300000220537186,"datum, search, structure, remove, data, list, store, want, add, use",28,0.05990000069141388,"child, add, non, cause, leaf, full, slow, sift, treechild, nodeleaf","['datum', 'structure', 'describe', 'value', 'node', 'value', 'child', 'min']","Which data structure is described by:the value at each node is = the values at its two children.
  Min heap
  "
9,9,13,0.16760000586509705,"second, take, record, long, run, expect, likely, question, information, implementation",11,0.08869999647140503,"complete, digit, count, least, significant, digits, basis, position, share, counting",16,0.047600001096725464,"for, follow, time, complexity, true, give, statement, function, correct, run","['complexity', 'take', 'second', 'complete', 'long', 'take', 'complete']","An algorithm has a time complexity of?(n^3), when n = 2 it takes 2 seconds to complete how long does it take to complete when n = 4
  16
  "
