,Unnamed: 0,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Question
0,0,0,29.0,0.3089999854564667,"for, time, complexity, search, runtime, function, none, follow, correct, give","['runtime', 'for', 'follow', 'code', 'fragment', 'for', 'for', 'for']","The runtime for the following code fragment is ?(f(n)). What is f(n)?for (int i=0; i<n; i++) for (int j=0; j<i/10; j++) for (int k=1; k<n; k=2*k) System.out.println(i);
"
1,1,1,29.0,0.11330000311136244,"need, top, last, much, tell, company, operate, copy, push, stock","['give', 'binary', 'search', 'algorithm', 'teach', 'first', 'last', 'index', 'many', 'iteration', 'need', 'find', 'element']","Given the binary search algorithm, as taught in the lecture, and an array with the followingnumbers (from first to last index):5, 9, 11, 99, 110, 111, 200, 300, 500, 1000, 1001.How many iterations does the algorithm need to find the element 5?
"
2,2,2,29.0,0.29679998755455017,"for, time, complexity, search, runtime, function, none, follow, correct, give","['complexity', 'use', 'definition', 'give', 'week', 'fix', 'assume', 'low', 'possible', 'value', 'for', 'definition', 'hold']","An algorithm has time complexity . Using the Definition of Big-Oh as given in the 2019 Week 1a Lecture (slide 14), fix B = 4.Assuming, what is the lowest possible value of b for which the definition holds?
"
3,3,3,29.0,0.16259999573230746,"sort, algorithm, case, insertion, complexity, stable, quick, bad, time, selection","['follow', 'sort', 'algorithm', 'quick', 'for', 'almost', 'sorted', 'array']","Which one of the following sorting algorithms is the quickest for an almost sorted array?
"
4,4,4,36.0,0.21389999985694885,"order, traversal, tree, post, follow, pre, level, output, use, traverse","['give', 'tree', 'hwhat', 'order', 'traversal']","Given the tree: a / \ b c / \ / \ e f g hWhat is the in order traversal?
"
5,5,5,27.0,0.2515000104904175,"would, use, result, determine, create, sequence, state, maxheap, num, body","['consider', 'create', 'for', 'directed', 'would', 'able', 'determine', 'matrix', 'create', 'multiplying', 'would', 'able', 'determine', 'if']","Consider we have created an Adjacency Matrix M for some directed graph.a) What would we be able to determine from the matrix created by multiplying M by itself?b) What would we be able to determine if we did this again?
"
6,6,6,27.0,0.10840000212192537,"sort, algorithm, case, insertion, complexity, stable, quick, bad, time, selection","['algorithm', 'without']","What is the time complexity of Dijkstra's Algorithm without a min-priority queue?
"
7,7,7,25.0,0.14579999446868894,"list, link, array, false, follow, remove, insert, faster, doubly, statement","['link', 'list', 'time', 'complexity', 'insert', 'remove', 'if', 'give', 'reference', 'previous', 'element']","In a linked list what is the time complexity to insert(x) and remove(y) if you were given the reference to the previous element:
"
8,8,8,49.0,0.4722999930381775,"operation, great, remain, put, var, ask, power, much, relation, box","['many', 'beer', 'while', 'fly', 'sleigh', 'back', 'pole', 'police', 'pull', 'police', 'ask', 'for', 'commercial', 'pilot', 'license', 'cpl', 'realise', 'leave', 'remain', 'gift', 'box', 'gift', 'box', 'need', 'find', 'label', 'location', 'put', 'pile', 'remain', 'total', 'pile', 'order', 'name', 'gift', 'box', 'pile', 'use', 'binary', 'search', 'bad', 'case', 'complexity']","Santa has had one too many beers while flying the sleigh back to the North Pole when the police pull him over. The police ask for hisEASA Part-FCL commercial pilot license (CPL) and he realises that he left it in one of 60 remaining gift boxes. The gift box he needs to find is labelled ""Santa Claus"" with ""North Pole"" on. Each location ""e.g Africa"" is put into its own pile, there are 12 remaining piles in total. Each pile is ordered by name ""e.g Mrs Claus"", there are 5 gift boxes in each pile. Using a binary search, what is the worst-case complexity?
"
9,9,9,49.0,0.01669999957084656,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"Is the below tree AVL? 5 3 7 2 6 81 9
"
10,10,10,29.0,0.17020000517368314,"for, time, complexity, search, runtime, function, none, follow, correct, give","['time', 'complexity', 'for', 'complete', 'search', 'balance', 'binary', 'search', 'tree']","What is the time complexity for completing 'n' searches in a balanced binary search tree?
"
11,11,11,29.0,0.17030000686645508,"for, time, complexity, search, runtime, function, none, follow, correct, give","['time', 'complexity', 'for', 'complete', 'search', 'balance', 'binary', 'search', 'tree']","What is the time complexity for completing 'n' searches in a balanced binary search tree?
"
12,12,12,52.0,0.21879999339580536,"order, traversal, tree, post, follow, pre, level, output, use, traverse","['correct', 'post', 'order', 'traversal', 'tree']","Which is the correct post-order traversal of the tree? a / \ b c / \ \ d e f
"
13,13,13,52.0,0.09040000289678574,"value, balance, rotation, unbalanced, clockwise, become, dependant, occur, bst, insert","['datum', 'structure', 'describe', 'value', 'node', 'value', 'child']","Which data structure is described by:the value at each node is = the values at its two children.
"
14,14,14,29.0,0.1615000069141388,"for, time, complexity, search, runtime, function, none, follow, correct, give","['average', 'time', 'complexity', 'perform', 'search', 'hash', 'table']","What's average time complexity of performing a search in a hash table?
"
15,15,15,29.0,0.13609999418258667,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['dense', 'sparse', 'graph', 'number', 'vertice', 'number', 'edge']","The asymptotic memory usage of dense and sparse graphs where v is the number of vertices and e is the number of edges is:
"
16,16,16,30.0,0.1679999977350235,"number, find, take, step, item, average, many, give, second, if","['complexity', 'take', 'second', 'complete', 'long', 'take', 'complete']","An algorithm has a time complexity of?(n^3), when n = 2 it takes 2 seconds to complete how long does it take to complete when n = 4
"
